#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
10,870,5939,1176
10,1840700199,5173,1320
10,1227133781,10918,760
10,1840700010,23329,1168
10,2667,28159,168
11,49,2675,1196
11,6434,26767,452
11,518,5586,2604
11,613567047,19239,80
11,613566801,3621,868
11,1840697667,4369,1376
11,20482,7035,72
11,1840698154,4530,948
11,358,5450,1508
11,622,7927,44
11,1840697707,5715,1464
11,1227133816,3837,1852
11,1840700162,4543,1292
11,1840700266,7884,288
11,613566517,3433,1200
11,1227133529,6896,1468
11,2827,6315,856
11,1840699403,5647,600
11,99,4300,1136
11,613566776,5350,956
11,1840700028,2682,132
11,1840698211,5837,1692
11,1840699395,7449,1060
11,2570,5067,496
11,1227133496,2186,472
11,1227135563,7867,136
11,1840700025,3623,1372
11,1227133721,3117,592
11,579,7695,24
11,613565255,7709,1424
11,16,6688,2636
11,1840700249,3825,1324
11,1227133707,8177,8
11,1840699727,6097,536
11,2882,6025,804
11,1227133699,7662,108
11,835,7328,164
11,1227149899,7137,1560
11,1227135843,7461,588
11,1227133780,3475,1380
11,613566525,7279,800
11,2862,20044,568
11,2158,23089,848
11,1840698210,23248,728
11,1840700202,16990,684
12,1227133468,2812,1264
12,1840698119,3653,440
12,1840697610,10306,1904
12,1840699915,5685,1860
12,1227133553,4392,932
12,1840697894,3905,484
12,613567238,7924,236
12,1840697698,5408,676
12,1227135554,7900,104
12,1227133528,4589,2248
12,1840698155,4916,768
12,613566826,7808,352
12,1840700015,7352,12
12,1840700024,2185,452
12,1840697646,6537,916
12,1840700163,3749,620
12,613566566,7709,8
12,613566812,2608,768
12,613566748,5248,1268
12,1227133475,8003,232
12,1840697926,8400,120
12,1840699759,7665,1008
12,259,8243,1204
12,1840700234,7328,1012
12,1840697674,4397,828
12,1227133816,3651,1760
12,1227133817,3684,648
12,613566840,2440,1268
12,2382,6217,660
12,613566580,3373,1124
12,1840699463,5195,712
12,1840697702,5301,612
12,1840697614,6665,1036
12,613567050,7003,852
12,2058,6317,288
12,1840700227,6223,796
12,1840697415,7494,1412
12,1840697675,11157,1044
13,4134,15637,52
13,583,28152,28
13,1840697647,24212,472
13,1840699427,24688,1604
13,1227133809,3313,1056
13,871,6770,2212
13,1227133443,6430,1136
13,1227133461,2663,1044
13,2091,6134,2564
13,1227133186,8185,796
13,1227149899,7482,1560
13,1227133506,8567,228
13,1840698126,4306,420
13,1840697410,7232,948
13,613566516,4517,1924
13,613566512,3911,836
13,1840699997,2681,1364
13,1227133557,6546,688
13,1227133821,2869,740
13,613566737,4591,2000
13,53,2327,152
13,1227133500,2283,360
13,1840697419,7306,1048
13,1840699910,4333,720
13,1840697859,7802,496
13,1227133564,4335,1944
13,775,4253,944
13,1227133468,2982,1204
13,1227133809,3480,1056
13,1840698158,5207,1252
13,613567307,7284,336
13,2403,7401,1308
13,1840699467,4483,584
13,613565034,7728,136
13,839,7498,444
13,2374,22451,456
13,613566520,25041,1012
13,613566513,5244,504
14,1227135234,27552,128
14,1227133190,6939,1508
14,613566749,5657,1772
14,878,30205,500
14,613566484,3148,1288
14,1840699997,2499,1364
14,1840697355,6673,656
14,613565291,6974,1424
14,613564418,7983,676
14,331,2989,792
14,1227133489,2915,1804
14,613566485,3608,760
14,1840700206,5061,1824
14,1227133720,2137,116
14,1840699996,2167,24
14,1227133820,2910,508
14,1840700285,6523,2696
14,613566808,3134,584
14,1227133461,2824,1316
14,835,7915,164
14,782,4375,824
14,1227133501,2824,824
14,1840700174,4093,756
14,613566736,7208,1268
14,1227133721,2956,556
14,613566576,2334,384
14,1840697454,4888,904
14,294,8047,360
14,2566,6802,1208
14,1227133807,7785,16
14,526,8207,836
14,1227133725,3179,560
14,21,2815,1456
14,1227133465,4199,1144
14,2567,7423,1616
14,613566831,15978,884
14,309,2626,24
14,1840700285,20336,2696
14,16386,20260,308
14,1227133781,15926,660
15,308,2456,732
15,613565038,8662,528
15,613566492,3511,932
15,1227133720,2425,116
15,2126,4813,1124
15,613566492,3578,932
15,309,2518,24
15,2855,6676,780
15,522,7799,480
15,1840697711,5166,1072
15,1840699918,6457,1828
15,614,7805,1400
15,2150,5156,2452
15,559,6191,1120
15,1227133798,8113,72
15,1840699494,5552,2044
15,1227133493,2455,608
15,323,4989,1696
15,1227133521,3933,2668
15,615,7069,36
15,613568774,6597,732
15,1227133785,4424,1528
15,1840698190,7543,1204
15,263,7258,284
15,1227133813,2672,568
15,2406,7639,68
15,1227133817,3733,636
15,1227135567,7783,32
15,1227133725,2991,560
15,1227133507,7146,60
15,1840697931,13362,84
15,1227135850,19462,724
15,613566581,11331,1004
15,303,26613,1252
16,613566800,4117,1128
16,613568802,13294,764
16,587,27878,40
16,3681400807,4753,36
16,4294967187,2293,4
16,1227133493,2348,608
16,613566818,7688,136
16,613566524,3135,404
16,1840699499,4628,628
16,1227135782,7485,524
16,2638,7093,1292
16,2819,3791,824
16,613566841,2752,196
16,1227133724,2193,132
16,1840699439,7623,1700
16,613566813,2359,520
16,2895,7248,464
16,1227133524,3418,596
16,613566577,2519,720
16,613566588,2853,1044
16,2155,4534,800
16,1840697443,6122,1076
16,1840699726,6447,812
16,613566845,2218,208
16,2347,8087,76
16,1227133556,3998,1036
16,613565286,7732,48
16,1227133006,8883,56
16,1227133808,20955,960
16,2914,21090,912
16,1840700025,21294,1332
16,613565255,24467,1424
17,613566805,3512,772
17,613566481,2501,700
17,613565262,5818,1416
17,1227133753,3277,1140
17,1227133713,2621,600
17,613566588,2801,1044
17,779,5230,1880
17,613567284,2467,1236
17,613566809,2608,740
17,613566480,2137,188
17,1227133812,3319,968
17,613566521,2972,1264
17,613566493,3155,868
17,1227133724,3625,132
17,1840697899,7212,676
17,1227135577,2333,444
17,2065,2245,476
17,1840697703,5138,480
17,613566548,2576,1460
17,1227133460,2555,676
17,1840700194,4956,1096
17,613566484,2454,1280
17,2064,2357,1088
17,1840700252,2379,1020
17,613570562,6760,1100
17,1840700238,5267,1132
18,613567280,1882,560
18,613567284,2099,1228
18,1227135576,2225,436
18,3067833803,2593,24
18,2065,2059,476
18,1227133460,2518,640
18,613566809,2263,740
18,613566488,2594,1212
18,1227133488,2245,952
19,613567252,2046,1564
19,613566489,3281,1428
19,613566584,1800,312
19,1227133492,3040,812
19,1227133752,2123,412
19,1227135569,2142,1308
20,613566549,2091,288
20,2454267367,4557,32
20,1227133757,3485,524
20,1227133717,2455,464
20,613566589,2624,1080
20,529,2135,328
21,613567248,3235,1552
21,613566544,3099,1240
21,2069,2191,168
21,1227135581,3673,1228
21,1227135568,3615,2812
21,1227133017,2026,52
21,1227133021,2305,868
21,1227133712,3312,1524
21,2068,1702,1676
21,613567285,1935,1680
22,1227133049,3464,1120
22,613564725,2235,676
22,3681400726,2940,12
